order_id,customer_name,customer_email,customer_phone,customer_address,product_title,product_rating,discounted_price,original_price,discount_percentage,is_best_seller,delivery_date,data_collected_at,product_category,quantity,order_date
CB0BTS8Y25,Michael Gilbert,ianhaas@example.org,(856)837-7555,"64069 Hunter Burg Apt. 852, East Olivia, MS 84919",Portable T-Shirt - Clothing Edition,1.5,86.53,270.4,68,True,2023-09-28,2025-09-17,Clothing,5,2025-09-03
ZF58P1EOTK,Christopher Perez,swilson@example.net,269-286-1969x409,"1886 King Street, Lisaville, CT 65064",Portable Lipstick - Home & Kitchen Edition,1.9,1106.47,1515.71,27,False,2024-01-05,2025-09-17,Home & Kitchen,2,2025-07-18
H1Q6JE04L6,Christina Newman,jason88@example.org,+1-597-609-5787x7141,"6509 Liu Bridge, South Ericfort, WA 23761",Budget Smartphone - Sports Edition,2.0,324.89,541.48,40,True,2023-10-14,2025-09-17,Sports,4,2025-06-29
GOBSAGN55K,Mrs. Julie Hess,penningtonmary@example.net,842.602.3426x305,"8708 Conley Burgs, Davisburgh, NH 25693",Premium T-Shirt - Electronics Edition,1.4,979.27,989.16,1,True,2024-08-11,2025-09-17,Electronics,4,2025-05-27
PY6187FNFS,Adam Frank,raymondrobinson@example.com,+1-421-911-6176x65219,"PSC 1405, Box 8000, APO AA 80591",Budget Lipstick - Books Edition,3.1,64.24,114.71,44,False,2024-08-24,2025-09-17,Books,4,2023-10-13
VPGGPMI3R0,Samantha Jones,umcpherson@example.org,001-549-903-6948,"46564 Miller Islands, Lake Danaborough, MS 37816",Budget Smartphone - Beauty Edition,3.4,475.25,698.9,32,True,2025-03-05,2025-09-17,Beauty,3,2024-06-19
A7LT2DYB1G,Kristi Martin,nicole28@example.com,001-708-385-4331x3422,"945 Joseph Bypass Suite 149, Wilsonside, NE 96364",Eco-Friendly Blender - Books Edition,4.3,134.02,183.59,27,False,2024-08-13,2025-09-17,Books,3,2023-02-06
7JHZ89QVGH,Michael Moore,nguyenlarry@example.org,(723)555-3886,"0079 Fernandez Corners Suite 535, Port Nicolestad, ND 47604",High-End Blender - Electronics Edition,1.9,121.46,296.24,59,True,2024-09-15,2025-09-17,Electronics,2,2024-06-05
4AGXDQZTK8,Jeffrey Blair,austinbyrd@example.net,+1-417-747-3997x2011,"21954 Harding Inlet Apt. 106, New Michellechester, IL 57987",Durable Lipstick - Home & Kitchen Edition,4.1,380.47,655.98,42,False,2025-05-01,2025-09-17,Home & Kitchen,4,2024-08-23
U611ZGXK78,Rhonda Sellers,garyharris@example.net,572.340.8007x74321,"8199 Briggs Loop Apt. 669, Michaelchester, IN 58829",Eco-Friendly Laptop - Clothing Edition,3.9,483.82,520.24,7,False,2025-06-14,2025-09-17,Clothing,2,2025-06-20
RMYEVDUJDS,Zachary Edwards,sbryant@example.com,790-415-9519x380,"1607 Amy Greens Suite 754, South Katherineton, MD 69947",Budget T-Shirt - Sports Edition,1.7,340.89,757.53,55,False,2025-01-17,2025-09-17,Sports,4,2023-10-14
