order_id,customer_name,customer_email,customer_phone,customer_address,product_title,product_rating,discounted_price,original_price,discount_percentage,is_best_seller,delivery_date,data_collected_at,product_category,quantity,order_date
V5J12FI6PG,Joshua Johnson,bryantdavid@example.org,001-803-326-7382x79402,"87740 Joe Avenue Apt. 642, Rebeccahaven, FL 18338",Budget Book - Electronics Edition,3.1,1106.59,1756.49,37,True,2024-01-15,2025-09-17,Electronics,3,2024-12-01
3VDAOTZWDF,Joseph Vargas,michelle26@example.com,5012312752,"Unit 4388 Box 3978, DPO AE 92395",Portable Book - Books Edition,4.7,881.48,908.74,3,False,2023-12-31,2025-09-17,Books,5,2024-07-15
5NSJF8DYFO,Laurie Harris MD,dana42@example.org,679.972.2517x85366,"753 Mark Forges Apt. 159, East Tiffanybury, NV 43418",Durable Lipstick - Home & Kitchen Edition,3.1,754.83,1217.47,38,True,2023-12-07,2025-09-17,Home & Kitchen,5,2024-10-12
B9KC22KD7O,Patrick Thompson,pennydixon@example.com,(708)571-0576x86538,"6043 Sean Loaf, West Christopher, NY 91150",Portable T-Shirt - Toys Edition,1.6,147.08,490.28,70,False,2025-02-05,2025-09-17,Toys,4,2024-10-18
IH9QVWBJR0,Carly Hughes,christina11@example.org,+1-290-936-1735x7910,"762 Paul Center Suite 851, West Kevin, NV 90986",Premium Laptop - Home & Kitchen Edition,2.6,543.21,787.26,31,True,2025-01-17,2025-09-17,Home & Kitchen,5,2024-08-12
9RUOXBMVM1,William Lawson,blackalexander@example.org,782-741-3620x5447,"Unit 4407 Box 2807, DPO AP 29604",Eco-Friendly Running Shoes - Beauty Edition,2.3,672.66,1494.8,55,False,2025-06-01,2025-09-17,Beauty,1,2024-11-06
ZQFLE3BWHX,Billy Harris,lbryant@example.com,793-403-3907,"11794 Micheal Points Suite 346, Devonville, AK 31503",Eco-Friendly Smartphone - Toys Edition,3.8,693.48,1284.23,46,False,2024-12-02,2025-09-17,Toys,5,2023-02-20
HNPCJNWYA1,Mr. Gregory Singh,stanleypaul@example.net,(629)652-2609x78994,"86057 Malik Isle, Douglaschester, TX 57752",Premium Lipstick - Sports Edition,3.6,199.09,355.51,44,True,2023-09-28,2025-09-17,Sports,5,2024-08-10
UEIY4W4KR9,David Hodges,millermitchell@example.com,+1-339-733-2011,"91297 Gary Landing Apt. 005, New Charlesburgh, RI 40475",Premium Book - Sports Edition,1.3,1327.32,1543.39,14,False,2025-01-10,2025-09-17,Sports,5,2024-03-09
D1Y6T6CTZ0,Bryan Best,reeddebra@example.com,444.578.8346x186,"21046 Ford Field, Lake Victoria, AZ 85901",Eco-Friendly Laptop - Books Edition,2.1,57.31,184.88,69,True,2025-06-09,2025-09-17,Books,5,2023-04-04
JNNN3C2P18,Edward Reese,caitlin99@example.com,(289)452-4118,"9043 Hurley Pike, Hayesshire, TN 66744",Durable Laptop - Toys Edition,1.7,799.32,1229.72,35,False,2024-07-26,2025-09-17,Toys,3,2025-08-22
WOJ3MA0FAG,Harold Norris,holmesstephanie@example.org,001-257-213-2043x4514,"05058 Heather Divide, Evansborough, HI 10961",Durable Lipstick - Books Edition,3.2,871.89,1063.28,18,False,2025-08-19,2025-09-17,Books,1,2025-06-17
A3QNVUCV5M,Patricia Fisher,jasonlopez@example.com,481-738-6364x681,"095 Cole Squares Apt. 500, East Ashley, VA 73041",Eco-Friendly Laptop - Toys Edition,3.9,1012.99,1777.18,43,False,2025-06-05,2025-09-17,Toys,3,2025-07-07
CAYD03L3EF,Ryan Lucas,guzmantheresa@example.com,(595)834-5121x1876,"83184 Zachary Inlet Suite 522, Brittanyberg, NH 88662",Premium Toy Car - Electronics Edition,1.8,107.48,346.7,69,False,2024-07-13,2025-09-17,Electronics,1,2023-06-19
A4T23A73LU,Sheryl Jones,xmay@example.net,(387)457-6351x5547,"9149 Davis Cliff, North Krystalstad, MD 40114",High-End Running Shoes - Toys Edition,4.1,1188.93,1723.09,31,True,2024-04-18,2025-09-17,Toys,5,2023-12-20
Y6SIOR9QAI,Tim Odonnell,hbrooks@example.net,354-930-1763x85963,"25390 Daniel Road, North Markfurt, WA 66436",High-End Smartphone - Sports Edition,1.6,281.84,782.89,64,False,2023-11-08,2025-09-17,Sports,5,2023-02-09
B7K6YB3UN1,Margaret Gould,ddawson@example.com,+1-945-272-2494x26631,"900 Kathleen Parkways, Chaveztown, IN 28792",Premium Laptop - Beauty Edition,2.7,818.2,1487.64,45,True,2025-02-17,2025-09-17,Beauty,2,2024-05-30
S4DK4EW5LB,Linda Rodriguez,tparker@example.org,001-991-278-3076x7221,"PSC 6763, Box 0073, APO AE 12947",Budget Laptop - Books Edition,1.7,1305.04,1500.05,13,False,2024-09-13,2025-09-17,Books,1,2023-09-07
I67Z1G1TTA,Jesse Scott,michaelcruz@example.com,727.397.0905x1864,"550 Joseph Pine Apt. 798, Sparksport, CO 14105",Eco-Friendly Running Shoes - Home & Kitchen Edition,1.3,146.33,168.19,13,False,2024-09-24,2025-09-17,Home & Kitchen,5,2024-01-19
