order_id,customer_name,customer_email,customer_phone,customer_address,product_title,product_rating,discounted_price,original_price,discount_percentage,is_best_seller,delivery_date,data_collected_at,product_category,quantity,order_date
ALFN7I6RJX,Janet Daniels PhD,aaronwoods@example.org,+1-913-594-4997,"540 Philip Garden Suite 997, Lake John, IA 78693",Durable T-Shirt - Books Edition,2.0,637.26,897.55,29,True,2023-06-07,2025-09-17,Books,2,2025-08-16
XNXS7K2GPA,Michael Brown,tjohnson@example.net,001-517-669-5351,"732 Salinas Crest, Lake Christinahaven, VI 37496",Portable Book - Home & Kitchen Edition,4.5,1434.76,1668.33,14,False,2023-04-16,2025-09-17,Home & Kitchen,2,2023-12-26
N6ZKVM2KAR,Paul Campbell,katherinewells@example.net,528.868.3892,"7601 Joseph Club, Lake Jamiefort, NV 47838",Eco-Friendly Smartphone - Toys Edition,1.4,417.87,485.9,14,False,2024-05-02,2025-09-17,Toys,5,2025-05-15
CLB1LRCWF0,Jasmine Valentine,murphydonna@example.com,(865)273-5345,"06011 Daniel Hill, Lake Harold, KY 24439",Budget Toy Car - Sports Edition,1.6,182.64,299.41,39,True,2025-07-28,2025-09-17,Sports,1,2023-05-09
8PD961CNS2,Brittany Stafford,vasquezcourtney@example.net,341-293-8310x388,"777 Daniel Mills Apt. 537, New Jenna, DC 37360",Durable Blender - Electronics Edition,3.6,1307.3,1390.75,6,True,2024-05-15,2025-09-17,Electronics,5,2023-01-01
CUL1P63QNQ,Julie Sandoval,aliciapeterson@example.com,+1-714-735-7859x0542,"052 Welch Cliffs Suite 903, New Stephanie, OH 12551",Budget Smartphone - Clothing Edition,3.0,212.02,353.36,40,False,2025-03-16,2025-09-17,Clothing,1,2024-03-05
CZHQKR4BC6,Erin Brewer,sophia66@example.com,+1-966-736-8609,"464 Anthony Fields, Port Joshuaport, MA 19377",High-End Lipstick - Sports Edition,2.6,1039.12,1404.21,26,False,2024-12-07,2025-09-17,Sports,1,2023-06-29
30PSYEVZPQ,Timothy Ramirez,gmelendez@example.com,(672)780-6060x563,"PSC 8133, Box 5440, APO AE 98529",Durable Smartphone - Electronics Edition,1.4,1397.84,1664.09,16,True,2024-04-01,2025-09-17,Electronics,4,2025-09-06
8TF05XYGJI,Amber Lane,vwright@example.net,7972455290,"5229 Owens Coves Apt. 523, Port Mariechester, MI 66097",Durable Smartphone - Beauty Edition,3.3,1216.74,1962.48,38,True,2025-03-28,2025-09-17,Beauty,2,2024-03-04
MW35N5AEH7,Karen Lopez,carlsoncolleen@example.org,+1-522-952-4011x43494,"49044 Burns Circles, Collinsside, WY 03066",Premium Toy Car - Books Edition,1.9,462.57,660.82,30,True,2025-05-17,2025-09-17,Books,2,2025-01-27
XLMEHH92RO,Amanda Bailey,brucelynn@example.net,(380)747-1234x3767,"892 Sparks Dam Suite 091, East Justin, AS 97875",Portable Blender - Home & Kitchen Edition,4.6,481.05,707.43,32,False,2024-07-30,2025-09-17,Home & Kitchen,5,2024-11-18
ZJL1CF586E,Thomas Moore,wthompson@example.net,001-628-548-6798x79117,"356 Mueller Turnpike Apt. 828, New Robert, MI 01809",Portable Smartphone - Toys Edition,4.6,231.42,428.55,46,True,2023-06-30,2025-09-17,Toys,5,2023-08-08
6MKMNMLJRC,Samantha Miller,michaelmichael@example.com,544-438-3315x7188,"303 Graves Roads Apt. 827, Sanchezview, MO 45619",Premium Book - Home & Kitchen Edition,4.9,453.41,1259.46,64,True,2024-02-24,2025-09-17,Home & Kitchen,1,2025-09-01
05JWCO36AM,David Evans,andrew89@example.net,467-924-1167x9666,"Unit 5462 Box 2615, DPO AA 60919",Portable Toy Car - Home & Kitchen Edition,4.0,559.21,1553.35,64,True,2025-01-17,2025-09-17,Home & Kitchen,2,2024-11-28
OEYYG66VFX,Lisa Blevins,ngreene@example.net,200.731.9161x51763,"59907 Smith Parkway, Timothyfort, GU 76928",Premium Smartphone - Books Edition,3.2,895.22,1065.74,16,False,2023-05-22,2025-09-17,Books,1,2024-12-16
83MSV42SJV,Mary Lopez,hdelacruz@example.org,+1-502-556-2323x4701,"282 Diane Pike, New Davidburgh, CA 99418",High-End Toy Car - Beauty Edition,2.6,904.38,1027.71,12,True,2025-03-13,2025-09-17,Beauty,3,2024-08-30
657B7NVPDM,Luis Johnson,kimkhan@example.com,4344868286,"691 Misty Plaza, Carlaberg, NJ 11026",Eco-Friendly Laptop - Home & Kitchen Edition,2.0,75.24,156.74,52,True,2025-08-18,2025-09-17,Home & Kitchen,4,2024-03-17
KHJ1M2PP4O,Jessica Stark,isaac60@example.net,6274857070,"54270 Ochoa Parkways Apt. 641, Lake Mike, MT 02739",Eco-Friendly Blender - Books Edition,1.5,975.42,1548.28,37,True,2023-01-04,2025-09-17,Books,4,2024-10-30
XJQ79NUOF6,Rachel Perry,escobarlaura@example.org,637-730-6851x30896,"42426 Kristin River, East Jose, DE 35561",Eco-Friendly Laptop - Sports Edition,1.1,463.65,1007.93,54,True,2023-04-28,2025-09-17,Sports,3,2025-07-17
3KPTPC1996,Sabrina Smith,rasmussenkevin@example.org,+1-788-546-5331,"4293 Ho Pike Apt. 751, Douglasfurt, GA 52816",Portable Lipstick - Sports Edition,2.5,1057.38,1448.46,27,True,2024-07-15,2025-09-17,Sports,4,2023-08-21
V0KV8G8TE3,Mary Bradford,chernandez@example.net,+1-732-427-1422x765,"831 Wagner Ville, Aprilchester, WI 18064",Budget Running Shoes - Home & Kitchen Edition,3.5,812.95,991.4,18,True,2025-07-11,2025-09-17,Home & Kitchen,4,2023-07-07
6NYOLBVVZV,Brian Sims,navarroelizabeth@example.com,201.343.1323,"0614 Campbell Avenue, Port Barbara, ND 31547",Portable Lipstick - Electronics Edition,4.3,129.87,405.84,68,True,2023-01-06,2025-09-17,Electronics,4,2024-11-16
CR67BA5RWS,Jose Curtis,dpatel@example.net,225-544-4424x73425,"2444 Heather Spurs, Michelleburgh, RI 73148",High-End T-Shirt - Toys Edition,2.2,127.7,411.95,69,True,2023-12-11,2025-09-17,Toys,3,2023-10-01
354AR5NHYO,Carl Mcbride,omurphy@example.com,7674031812,"00532 Sean Stravenue Apt. 846, West Walterview, ME 05329",High-End Toy Car - Home & Kitchen Edition,1.9,42.1,43.85,4,False,2024-02-22,2025-09-17,Home & Kitchen,5,2023-09-06
32W1AIP8O9,Amanda Goodman,hineswendy@example.net,519.311.1398x677,"7562 Campbell Ridge Suite 451, Port Cynthiamouth, CT 78233",Eco-Friendly Running Shoes - Toys Edition,4.1,1186.63,1303.99,9,False,2025-02-09,2025-09-17,Toys,4,2023-05-19
KOEBE4R9Z5,Joseph Smith,nhouse@example.com,001-967-913-0111x26022,"841 Ashlee Turnpike, Johnsonside, GA 94552",Durable Running Shoes - Beauty Edition,3.2,481.82,1204.56,60,True,2025-06-09,2025-09-17,Beauty,2,2023-01-07
